Accuracy_train_h24_w256_ov64_300s,Loss_train_h24_w256_ov64_300s,Accuracy_train_h36_w256_ov64_300s,Loss_train_h36_w256_ov64_300s,Accuracy_train_h48_w256_ov64_300s,Loss_train_h48_w256_ov64_300s,Accuracy_train_h36-48_w256_ov64_300s,Loss_train_h36-48_w256_ov64_300s,Accuracy_train_h12-24_w128_ov64_40s,Loss_train_h12-24_w128_ov64_40s,Accuracy_train_h24-36_w128_ov64_40s,Loss_train_h24-36_w128_ov64_40s,Accuracy_train_h36-48_w128_ov64_40s,Loss_train_h36-48_w128_ov64_40s,Accuracy_train_h24-36-48_w128_ov64_40s,Loss_train_h24-36-48_w128_ov64_40s,Accuracy_train_h12-24-36-48_w128_ov64_40s,Loss_train_h12-24-36-48_w128_ov64_40s
0.651152486,0.628731651,0.645744716,0.642355063,0.548133908,0.680829297,0.674992304,0.614302099,0.507446813,0.66488415,0.530036182,0.687991525,0.611908293,0.667763346,0.518924405,0.673220262,0.505319149,0.670035561
0.651315794,0.627787322,0.64684214,0.640853132,0.547670376,0.680070135,0.674294445,0.617159998,0.508045117,0.664839159,0.52897988,0.686770166,0.611913501,0.665160456,0.519386401,0.673336667,0.505353902,0.669669625
0.652199078,0.62662784,0.645138924,0.641460191,0.547856869,0.679259888,0.676479482,0.617756608,0.508556552,0.664621968,0.528840766,0.686279191,0.612322348,0.662909467,0.519210632,0.672465843,0.505747126,0.669586013
0.653207335,0.626654108,0.646219966,0.639236798,0.548166271,0.678647743,0.677125368,0.616964956,0.508762891,0.66470434,0.528704521,0.685170529,0.612562931,0.660543743,0.519142098,0.670706215,0.506221116,0.670638317
0.654053292,0.625202625,0.645748334,0.637303618,0.548343898,0.676783016,0.678349614,0.614907698,0.508819246,0.664214741,0.527534705,0.683143141,0.612798604,0.660393684,0.519895391,0.669444642,0.506685433,0.670124581
0.654461284,0.625691643,0.646801382,0.636637613,0.548393745,0.676951808,0.677206864,0.61597529,0.509163064,0.66407344,0.527572233,0.682118911,0.612872912,0.660915334,0.520379672,0.669122756,0.506966214,0.668845874
0.655416671,0.627335936,0.647000035,0.63575776,0.548811446,0.675631175,0.678840593,0.620131633,0.50971429,0.663964477,0.527999636,0.681051961,0.612713175,0.665692798,0.520201001,0.670467319,0.50724138,0.668890334
0.655202672,0.626604848,0.647138816,0.634675512,0.549545499,0.676543441,0.679867999,0.622182532,0.511363248,0.663236051,0.52919209,0.680069941,0.611942586,0.665541188,0.521817002,0.669948373,0.50836463,0.667616541
0.655130953,0.62795586,0.648105717,0.633065419,0.550064258,0.676192068,0.679028146,0.623301764,0.513050405,0.664138523,0.529901604,0.678219324,0.612251099,0.665079718,0.523253518,0.669282655,0.509634889,0.666878445
0.655334112,0.627392515,0.648395624,0.633010782,0.551010634,0.675649683,0.679189544,0.622704266,0.514565107,0.664828255,0.530900738,0.676752679,0.612478359,0.665203725,0.523930327,0.667654812,0.51113157,0.666564481
0.65512708,0.626613759,0.648028065,0.631992831,0.552017624,0.674978299,0.680044606,0.621772996,0.515497277,0.665126576,0.531580178,0.679070296,0.613148476,0.666929434,0.525270579,0.668092163,0.512019231,0.666929977
0.65505813,0.626532148,0.649120292,0.631034449,0.55253705,0.674330324,0.679917197,0.624253703,0.515863559,0.664701032,0.531651439,0.677737469,0.612993721,0.664313975,0.525197411,0.66785658,0.512972085,0.667109756
0.654857608,0.626198771,0.648592934,0.631099427,0.553549305,0.674932042,0.680339088,0.62265216,0.517308853,0.665443556,0.530689515,0.676717406,0.613280675,0.669219351,0.525694506,0.668569498,0.514313598,0.666090149
0.654792465,0.626827996,0.647125013,0.631464915,0.554121312,0.674680733,0.68088854,0.621304534,0.51778583,0.665829076,0.531643935,0.679570077,0.613127578,0.670788996,0.525008214,0.668041419,0.514904931,0.665830501
0.65485894,0.625773816,0.647096706,0.632794633,0.554417092,0.674685199,0.681562009,0.620779932,0.51878688,0.66462034,0.531929639,0.678352623,0.613551533,0.673710778,0.525916616,0.66742758,0.515405492,0.666047166
0.654924196,0.625444496,0.646291434,0.633698787,0.554970643,0.674684431,0.681425355,0.620698892,0.520033572,0.664578006,0.532066753,0.676707954,0.613754353,0.670908999,0.526439533,0.667324013,0.516371401,0.666551571
0.654220019,0.626048441,0.646733468,0.634684715,0.555365097,0.674394306,0.681686442,0.619287104,0.520734379,0.664366125,0.532556487,0.67485006,0.613953485,0.673620665,0.527181358,0.668137409,0.517163009,0.665442738
0.654162968,0.625112415,0.646862148,0.633762976,0.555937055,0.673821936,0.68181226,0.616856067,0.521811436,0.664196796,0.532755865,0.672564021,0.614009355,0.677110507,0.527547645,0.669447565,0.517319043,0.665232491
